OPEN,HIGH,LOW,CLOSE,VOLUME
406.7065671554134,406.9821520799524,400.50980418093496,405.6740402439042,29269445.0
405.5945568787286,417.6528736868372,404.87443793754966,408.1761314173541,29852152.0
408.18762644847226,417.45238345000047,407.49305924079977,407.7183654805045,1557271.0
407.63847209897466,407.8709621755555,400.6343297710982,400.9294419534482,307320.0
401.0567649313799,409.501199458556,401.0346491094381,408.0007228764732,280103.0
408.3048643374743,409.7161739929993,407.3148915123496,407.7182175164222,123900.0
407.5568542817845,2.2250738585072014e-308,1.7976931348623157e+308,407.7182175164222,0
407.5568542817845,2.2250738585072014e-308,1.7976931348623157e+308,407.7182175164222,0
407.5568542817845,2.2250738585072014e-308,1.7976931348623157e+308,407.7182175164222,0
407.5568542817845,2.2250738585072014e-308,1.7976931348623157e+308,407.7182175164222,0
407.5568542817845,2.2250738585072014e-308,1.7976931348623157e+308,407.7182175164222,0
407.5568542817845,2.2250738585072014e-308,1.7976931348623157e+308,407.7182175164222,0
407.5568542817845,2.2250738585072014e-308,1.7976931348623157e+308,407.7182175164222,0
407.5568542817845,408.1891497453325,406.7521757028678,406.99670407567896,8719217.0
407.0018518324824,417.8126885747244,406.89923682794665,417.28715360862833,30092308.0
417.3289120918922,417.89568537062365,415.1617930858248,417.04455177404736,29825241.0
417.019674800384,417.5098544710439,412.8781780623472,412.9903243178709,29883619.0
412.9954634594237,417.6141201837453,406.8098921683818,415.768790272597,29498671.0
415.83058164359113,417.8657394628472,411.9383442851839,415.3683517001929,1638534.0
415.9076927102679,417.7131615140729,413.3592963860256,415.4680195755902,311991.0
415.2264491327877,417.1679012610869,412.4740031764292,416.8106873288901,320410.0
416.9049192177801,417.458675945696,415.3004004287818,416.03110389436,117737.0
416.15516031151657,2.2250738585072014e-308,1.7976931348623157e+308,416.03110389436,0
416.15516031151657,2.2250738585072014e-308,1.7976931348623157e+308,416.03110389436,0
416.15516031151657,2.2250738585072014e-308,1.7976931348623157e+308,416.03110389436,0
416.15516031151657,2.2250738585072014e-308,1.7976931348623157e+308,416.03110389436,0
416.15516031151657,2.2250738585072014e-308,1.7976931348623157e+308,416.03110389436,0
416.15516031151657,2.2250738585072014e-308,1.7976931348623157e+308,416.03110389436,0
416.15516031151657,2.2250738585072014e-308,1.7976931348623157e+308,416.03110389436,0
416.15516031151657,416.83484881221545,413.6436438304241,415.9142004907517,8318956.0
